image1,image2,name,summery
https://st.hzcdn.com/simgs/5101ec9a0dd7074b_9-5848,https://st.hzcdn.com/simgs/7251d8370dd7074f_9-2856,"Porsha Dining Chair, Set of 2, Cream Velvet, Gold Legs","channel tufted design on back,comfortable,contemporary,cream,dining chair,gold,luxurious,luxurious cream velvet,meridian furniture,modern,nice,porsha,porsha cream velvet dining chair,rich gold metal legs,set of 2,sturdy,velvet"
https://st.hzcdn.com/simgs/789153560e674ffc_9-0502,https://st.hzcdn.com/simgs/0ea1a6530e675004_9-0502,"Narcine Accent Chair, Blue Gray","accent chair,blue gray accent chair,living room furniture,upholstered accent chair,wood frame accent chair"
https://st.hzcdn.com/simgs/6b01a8440b18022e_9-9674,https://st.hzcdn.com/simgs/6a41bdb10b180232_9-0196,Modern-Inspired Gold and Marble Accent Chair,"accent chair,accent seating,gold frame,marble,pattern"
https://st.hzcdn.com/simgs/6ad104830bc02e23_9-4128,https://st.hzcdn.com/simgs/aeb150360bc02e2d_9-4128,Barcelona Style Lounge Chair - Top Grain Premium Italian Leather - Black,
https://st.hzcdn.com/simgs/e1e1009b0c816966_9-7255,https://st.hzcdn.com/simgs/5561e8690c81695d_9-7255,Newport Lounge,"accent chair,bedroom chair,bedroom furniture,chairs for bedroom,chairs for living room,chaise lounge chair indoor,indoor lounge chair,living room chairs,living room furniture,living room set,lounge chair,lounge chair indoor,lounge chair living room,wood accent chair,Wood Frame Chair"
https://st.hzcdn.com/simgs/a6b1f4cf0e828e85_9-1240,https://st.hzcdn.com/simgs/93a1c8d50e828e87_9-1240,"Ruth Dining Chairs, Set of 2, Green","dining chairs,fabric dining chairs,furniture,side chairs,wood"
https://st.hzcdn.com/simgs/118119190d9c9449_9-4792,https://st.hzcdn.com/simgs/3ee1fffa0d9c944b_9-4792,"Amaya Luxe and Glamour Lounge Chair, Light Pink/Gold","accent chairs,chairs,fabric chairs,furniture,glam chairs,gold chairs,living room chairs,seatings,upholstered chairs"
https://st.hzcdn.com/simgs/a961427a0eccbf52_9-4885,https://st.hzcdn.com/simgs/ab91f03f0eccbf51_9-2144,Picket House Furnishings Cade Upholstered Side Chair Set in Gray,
https://st.hzcdn.com/simgs/67f128710ced4b10_9-1789,https://st.hzcdn.com/simgs/d6e119190ced4b13_9-7979,"Janet Rolled Arm Chair, Cranberry Red Herringbone","armchair,cranberry,espresso finish,Hardwood Frame,herringbone,polyester,red,removable seat cushion,rolled arms,self-welt trim,solid wood legs,squared back,tapered legs,tight back,upholstered"
https://st.hzcdn.com/simgs/00c18d6a0f055003_9-0270,https://st.hzcdn.com/simgs/b6511d680f055004_9-0270,Roll Arm Accent Chair in Multi-Color Cream/Blue Fabric,
https://st.hzcdn.com/simgs/30b148a50f931b2f_9-3800,https://st.hzcdn.com/simgs/0661dfce0f931b2f_9-3656,"GDF Studio Marcia Modern Velvet Club Chair, Emerald",
https://st.hzcdn.com/simgs/6b01ce0b0b2814e0_9-3592,https://st.hzcdn.com/simgs/d4e1490e09f24b5f_9-3592,"Blanca Upholstered Dining Chairs, Set of 4, Gray/Brown Taupe","Armless Chairs,dining chairs,gray dining chairs,grey dining chairs,set of 2 dining chairs,set of 4 dining chairs,set of Dining Chairs,Taupe dining chairs,upholstered chairs,upholstered dining chairs"
https://st.hzcdn.com/simgs/83b11f250b156cb2_9-0808,https://st.hzcdn.com/simgs/19719e460acd0b2b_9-0808,"Malibu Lounge Armchair, Natural Rattan Wicker, Handmade, Burgundy Cushions","chairs,cushion,eco,handmade,living room,lounge,lounge chair,rattan,rattan chair,wicker,wicker chair"
https://st.hzcdn.com/simgs/992134f405b01e52_9-3179,https://st.hzcdn.com/simgs/f9f138ac05b01e56_9-3179,"Colter Leather Covered Dining Chair, Mink",chrome steel cfs foamtone-on-tone tone-on-tone fully clad
https://st.hzcdn.com/simgs/a90168120f905bdb_9-2711,https://st.hzcdn.com/simgs/7ba1e1810f905be2_9-3767,"Jaymee Fabric Swivel Chair, Green and Black",
https://st.hzcdn.com/simgs/7ba1947d0f906e0d_9-4250,https://st.hzcdn.com/simgs/4d91f4a80f906e0f_9-2666,"GDF Studio Aurora Mid-Century Modern Accent Chairs, Dark Gray/Brown, Set of 2",
https://st.hzcdn.com/simgs/bba175200810ebb7_9-6865,https://st.hzcdn.com/simgs/937154380810ebba_9-3943,"Capri Wood Dining Chair, Solid Bleech Wenge Base, White Ppm",
